Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
1116427,1602607233,PG&E assessment crew is en route to the outage.,1602623700,Unknown - PG&E will be assessing the cause.,1,1602609338,1,37.11172,-121.96533,Los Gatos,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,1602623700,,1602612900,1602612900
1116428,1602606943,PG&E repair crew is on-site working to restore power.,1602622800,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,1602607250,0,38.90295,-120.9999,Auburn Lake Trails,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,,,,
1116429,1602607200,PG&E repair crew is on-site working to restore power.,1602624600,Our preliminary determination is that your outage was caused by scheduled maintenance work.,3,1602607723,0,38.76092,-120.71961,Camino,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,,,,
1116430,1602607260,PG&E has assigned a crew to assess the outage.,,Unknown - PG&E will be assessing the cause.,87,1602608344,0,38.54379,-122.3492,Saint Helena,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,,"[{'latitude': '38.49329', 'longitude': '-122.25199'}, {'latitude': '38.49521', 'longitude': '-122.24507'}, {'latitude': '38.49627', 'longitude': '-122.24507'}, {'latitude': '38.5192', 'longitude': '-122.27024'}, {'latitude': '38.5473', 'longitude': '-122.34133'}, {'latitude': '38.54294', 'longitude': '-122.34819'}, {'latitude': '38.53025', 'longitude': '-122.33949'}, {'latitude': '38.49889', 'longitude': '-122.29397'}]",,
1116431,1602607040,PG&E repair crew is on-site working to restore power.,1602631800,Our preliminary determination is that your outage was caused by scheduled maintenance work.,4,1602607353,0,39.5653,-120.63915,Sierra City,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,,,,
1116432,1602607350,PG&E has assigned a crew to assess the outage.,1602617400,Unknown - PG&E will be assessing the cause.,1,1602610786,0,37.70727,-122.18358,San Leandro,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,1602617400,,,
1116433,1602607104,PG&E repair crew is on-site working to restore power.,1602626400,Our preliminary determination is that your outage was caused by scheduled maintenance work.,12,1602607421,0,37.37088,-122.0906,Mountain View,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,,,,
1116434,1602607456,PG&E has assigned a crew to assess the outage.,1602613800,Unknown - PG&E will be assessing the cause.,1,1602607569,1,37.71712,-122.39199,San Francisco,2020-10-13 10:06:18-07:00,2020-10-13 09:48:06-07:00,1602613800,,,
1116435,1602607479,PG&E is assessing the cause at the outage location.,1602616500,PG&E is investigating the cause of your outage.,1,1602609507,0,37.77397,-122.43018,San Francisco,2020-10-13 10:56:24-07:00,2020-10-13 09:48:06-07:00,1602616500,,,
1116436,1602607544,PG&E is assessing the cause at the outage location.,,PG&E is investigating the cause of your outage.,1,1602610137,1,38.45313,-122.7754,Santa Rosa,2020-10-13 10:47:38-07:00,2020-10-13 09:48:06-07:00,,,,
1116438,1602607617,PG&E assessment crew is en route to the outage.,1602617400,Unknown - PG&E will be assessing the cause.,1,1602608347,1,37.85493,-122.2507,Berkeley,2020-10-13 10:56:24-07:00,2020-10-13 09:56:18-07:00,1602617400,,,
1116439,1602607655,PG&E is assessing the cause at the outage location.,1602625680,PG&E is investigating the cause of your outage.,1,1602617594,0,36.50166,-119.38575,Dinuba,2020-10-13 13:48:04-07:00,2020-10-13 09:56:18-07:00,1602616500,,1602618900,1602618900
1116440,1602607650,PG&E repair crew is on-site working to restore power.,1602610200,Our preliminary determination is that your outage was caused by scheduled maintenance work.,4,1602609501,0,35.49641,-120.74726,Atascadero,2020-10-13 10:47:38-07:00,2020-10-13 09:56:18-07:00,,"[{'latitude': '35.50848', 'longitude': '-120.76531'}, {'latitude': '35.51337', 'longitude': '-120.77526'}, {'latitude': '35.51363', 'longitude': '-120.78136'}]",,
1116441,1602607699,PG&E is assessing the cause at the outage location.,1602620100,PG&E is investigating the cause of your outage.,1,1602610617,1,37.37339,-122.12056,Los Altos Hills,2020-10-13 10:56:24-07:00,2020-10-13 09:56:18-07:00,1602620100,,,
1116442,1602607432,PG&E repair crew is on-site working to restore power.,1602633600,Our preliminary determination is that your outage was caused by scheduled maintenance work.,5,1602628887,0,37.15329,-121.60201,Morgan Hill,2020-10-13 16:06:17-07:00,2020-10-13 09:56:18-07:00,,,,
1116443,1602607833,PG&E is sending a repair crew to the outage location.,1602633600,Our preliminary determination is that your outage was caused by an equipment issue.,1,1602618677,1,37.26173,-121.9941,Saratoga,2020-10-13 14:06:35-07:00,2020-10-13 09:56:18-07:00,1602619200,,1602608160,1602608160
1116444,1602607537,PG&E repair crew is on-site working to restore power.,1602628200,Our preliminary determination is that your outage was caused by scheduled maintenance work.,5,1602607854,0,36.59759,-121.86689,Monterey,2020-10-13 14:06:35-07:00,2020-10-13 09:56:18-07:00,,,,
1116445,1602607800,PG&E is sending a repair crew to the outage location.,1602637200,Our preliminary determination is that your outage was caused by scheduled maintenance work.,77,1602638165,0,38.43542,-122.67118,Santa Rosa,2020-10-13 18:51:40-07:00,2020-10-13 09:56:18-07:00,,"[{'latitude': '38.43368', 'longitude': '-122.6731'}, {'latitude': '38.4343', 'longitude': '-122.67096'}, {'latitude': '38.43522', 'longitude': '-122.67176'}, {'latitude': '38.43483', 'longitude': '-122.67562'}, {'latitude': '38.43468', 'longitude': '-122.67586'}]",,
1116446,1602607872,PG&E is assessing the cause at the outage location.,1602613800,PG&E is investigating the cause of your outage.,1,1602610444,1,36.96869,-121.89747,Rio del Mar,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602613800,,,
1116447,1602608047,PG&E is assessing the cause at the outage location.,1602618300,PG&E is investigating the cause of your outage.,1,1602609307,1,36.66841,-121.66207,Salinas,2020-10-13 10:32:22-07:00,2020-10-13 10:22:22-07:00,1602618300,,,
1116448,1602608118,PG&E is assessing the cause at the outage location.,1602620100,PG&E is investigating the cause of your outage.,1,1602609229,0,35.5501,-120.71165,Templeton,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602620100,,,
1116449,1602607913,PG&E repair crew is on-site working to restore power.,1602631800,Our preliminary determination is that your outage was caused by scheduled maintenance work.,2,1602608223,0,37.88724,-122.19479,Orinda,2020-10-13 13:56:28-07:00,2020-10-13 10:22:22-07:00,,,,
1116450,1602608256,PG&E is sending a repair crew to the outage location.,1602631800,Our preliminary determination is that your outage was caused by an equipment issue.,1,1602614448,0,37.55608,-122.33267,San Mateo,2020-10-13 15:40:32-07:00,2020-10-13 10:22:22-07:00,1602616500,,,
1116451,1602608350,PG&E has assigned a crew to assess the outage.,1602614700,Unknown - PG&E will be assessing the cause.,1,1602610804,0,37.32286,-121.95349,San Jose,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602614700,,,
1116453,1602608407,PG&E has assigned a crew to assess the outage.,1602618300,Unknown - PG&E will be assessing the cause.,1,1602608666,0,37.73326,-122.18381,Oakland,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602618300,,,
1116454,1602608450,PG&E repair crew is on-site working to restore power.,1602644400,Our preliminary determination is that your outage was caused by scheduled maintenance work.,16,1602625029,0,37.43418,-122.24534,Woodside,2020-10-13 16:39:47-07:00,2020-10-13 10:22:22-07:00,,"[{'latitude': '37.43143', 'longitude': '-122.24262'}, {'latitude': '37.43291', 'longitude': '-122.24365'}, {'latitude': '37.43443', 'longitude': '-122.24763'}, {'latitude': '37.43291', 'longitude': '-122.24817'}]",,
1116455,1602608651,PG&E assessment crew is en route to the outage.,1602618300,Unknown - PG&E will be assessing the cause.,1,1602608940,1,37.29957,-121.88858,San Jose,2020-10-13 10:56:24-07:00,2020-10-13 10:22:22-07:00,1602618300,,1602610740,1602610740
