Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
714576,1574718000,PG&E is assessing the cause at the outage location.,1574738340.0,PG&E is investigating the cause of your outage.,161,1574736371,2,37.42109,-121.87316,Milpitas,2019-11-25 19:00:19-08:00,2019-11-25 13:50:22-08:00,1574729100.0,"[{'latitude': '37.419', 'longitude': '-121.87508'}, {'latitude': '37.41944', 'longitude': '-121.87408'}, {'latitude': '37.42106', 'longitude': '-121.87361'}, {'latitude': '37.42164', 'longitude': '-121.87395'}, {'latitude': '37.42224', 'longitude': '-121.87436'}, {'latitude': '37.4221', 'longitude': '-121.8751'}, {'latitude': '37.42191', 'longitude': '-121.87603'}, {'latitude': '37.42066', 'longitude': '-121.87565'}]",1574727000.0,1574727000.0
714577,1574718008,PG&E assessment crew is en route to the outage.,1574731800.0,Unknown - PG&E will be assessing the cause.,1,1574720394,2,40.06354,-122.09306,Los Molinos,2019-11-25 14:40:25-08:00,2019-11-25 13:50:22-08:00,1574731800.0,,,
714578,1574718013,PG&E is assessing the cause at the outage location.,1574726400.0,PG&E is investigating the cause of your outage.,1,1574720562,1,36.53133,-119.73727,Fresno,2019-11-25 15:40:20-08:00,2019-11-25 13:50:22-08:00,1574726400.0,,,
714579,1574718022,PG&E has assigned a crew to assess the outage.,1574735880.0,Unknown - PG&E will be assessing the cause.,1,1574730808,0,38.13963,-121.17368,Lockeford,2019-11-25 18:30:29-08:00,2019-11-25 13:50:22-08:00,1574730000.0,,1574732820.0,1574732820.0
714580,1574718049,PG&E is assessing the cause at the outage location.,1574749080.0,PG&E is investigating the cause of your outage.,76,1574742331,1,37.23866,-121.84848,San Jose,2019-11-25 20:40:23-08:00,2019-11-25 13:50:22-08:00,1574729100.0,"[{'latitude': '37.23858', 'longitude': '-121.84753'}, {'latitude': '37.23928', 'longitude': '-121.84671'}, {'latitude': '37.23993', 'longitude': '-121.8467'}, {'latitude': '37.23992', 'longitude': '-121.84808'}, {'latitude': '37.23916', 'longitude': '-121.84916'}]",,
714581,1574717760,PG&E has assigned a crew to assess the outage.,1574731800.0,Unknown - PG&E will be assessing the cause.,65,1574718064,0,36.28411,-120.12072,Huron,2019-11-25 14:00:22-08:00,2019-11-25 13:50:22-08:00,1574731800.0,"[{'latitude': '36.25429', 'longitude': '-120.08651'}, {'latitude': '36.25588', 'longitude': '-120.03093'}, {'latitude': '36.26957', 'longitude': '-119.98516'}, {'latitude': '36.29816', 'longitude': '-119.98578'}, {'latitude': '36.30004', 'longitude': '-119.99497'}, {'latitude': '36.29912', 'longitude': '-120.04813'}, {'latitude': '36.28568', 'longitude': '-120.10289'}, {'latitude': '36.28504', 'longitude': '-120.10339'}, {'latitude': '36.26989', 'longitude': '-120.10331'}, {'latitude': '36.26083', 'longitude': '-120.09378'}, {'latitude': '36.25531', 'longitude': '-120.08771'}]",,
714582,1574717880,PG&E is sending a repair crew to the outage location.,1574791200.0,PG&E is investigating the cause of your outage.,1,1574733781,0,38.69173,-121.72773,Woodland,2019-11-26 09:40:23-08:00,2019-11-25 14:00:46-08:00,1574729100.0,"[{'latitude': '38.6907', 'longitude': '-121.70987'}, {'latitude': '38.69814', 'longitude': '-121.72037'}, {'latitude': '38.69159', 'longitude': '-121.71696'}]",,
714583,1574718228,PG&E is assessing the cause at the outage location.,1574727300.0,PG&E is investigating the cause of your outage.,1,1574720305,1,37.99333,-122.03465,Concord,2019-11-25 15:00:16-08:00,2019-11-25 14:00:46-08:00,1574727300.0,,1574723700.0,1574723700.0
714584,1574718262,PG&E is assessing the cause at the outage location.,1574738220.0,PG&E is investigating the cause of your outage.,1,1574735809,1,36.56296,-121.93072,Del Monte Forest,2019-11-25 19:00:19-08:00,2019-11-25 14:00:46-08:00,1574729100.0,,,
714585,1574718266,PG&E is assessing the cause at the outage location.,1574737200.0,PG&E is investigating the cause of your outage.,1,1574723120,1,35.4141,-119.03642,Oildale,2019-11-25 16:20:11-08:00,2019-11-25 14:00:46-08:00,1574737200.0,,,
714586,1574718347,PG&E is assessing the cause at the outage location.,1574758740.0,PG&E is investigating the cause of your outage.,1,1574754647,1,38.14364,-121.12158,Lodi,2019-11-26 01:00:23-08:00,2019-11-25 14:00:46-08:00,1574733600.0,,1574754420.0,1574754420.0
714587,1574718367,PG&E repair crew is on-site working to restore power.,1574735400.0,Our preliminary determination is that your outage was caused by an equipment issue.,2,1574731537,1,38.15567,-121.37145,Lodi,2019-11-25 17:40:36-08:00,2019-11-25 14:00:46-08:00,1574730000.0,,1574722140.0,1574726400.0
714588,1574718373,PG&E is assessing the cause at the outage location.,1574733600.0,PG&E is investigating the cause of your outage.,1,1574720700,0,34.96466,-120.44406,Santa Maria,2019-11-25 16:11:28-08:00,2019-11-25 14:00:46-08:00,1574733600.0,,,
